seconds, temperature
0.00,21.69
1.00,21.69
2.00,21.72
3.00,21.89
4.00,22.21
5.00,22.58
6.00,22.96
7.00,23.33
8.00,23.69
9.00,24.05
10.00,24.42
11.00,24.78
12.00,25.15
13.00,25.49
14.00,25.84
15.00,26.21
16.00,26.55
17.00,26.90
18.00,27.26
19.00,27.59
20.00,27.94
21.00,28.30
22.00,28.63
23.00,28.99
24.00,29.33
25.00,29.66
26.00,30.02
27.00,30.36
28.00,30.70
29.00,31.04
30.00,31.38
31.00,31.72
32.00,32.06
33.00,32.40
34.00,32.74
35.00,33.08
36.00,33.41
37.00,33.75
38.00,34.09
39.00,34.42
40.00,34.76
41.00,35.10
42.00,35.43
43.00,35.79
44.00,36.12
45.00,36.44
46.00,36.79
47.00,37.13
48.00,37.46
49.00,37.80
50.00,38.13
51.00,38.45
52.00,38.80
53.00,39.14
54.00,39.47
55.00,39.81
56.00,40.14
57.00,40.49
58.00,40.81
59.00,41.14
60.00,41.49
61.00,41.81
62.00,42.15
63.00,42.50
64.00,42.81
65.00,43.16
66.00,43.50
67.00,43.81
68.00,44.17
69.00,44.50
70.00,44.82
71.00,45.17
72.00,45.50
73.00,45.83
74.00,46.17
75.00,46.50
76.00,46.83
77.00,47.17
78.00,47.50
79.00,47.84
80.00,48.17
81.00,48.50
82.00,48.85
83.00,49.19
84.00,49.50
85.00,49.85
86.00,50.16
87.00,50.31
88.00,50.34
89.00,50.34
90.00,50.32
91.00,50.30
92.00,50.28
93.00,50.25
94.00,50.23
95.00,50.22
96.00,50.20
97.00,50.18
98.00,50.17
99.00,50.16
100.00,50.15
101.00,50.14
102.00,50.13
103.00,50.12
104.00,50.11
105.00,50.10
106.00,50.09
107.00,50.09
108.00,50.08
109.00,50.07
110.00,50.07
111.00,50.06
112.00,50.06
113.00,50.06
114.00,50.05
115.00,50.05
116.00,50.04
117.00,50.04
118.00,50.04
119.00,50.04
120.00,50.03
121.00,50.03
122.00,50.03
123.00,50.03
124.00,50.03
125.00,50.02
126.00,50.02
127.00,50.02
128.00,50.02
129.00,50.02
130.00,50.02
131.00,50.01
132.00,50.01
133.00,50.01
134.00,50.01
135.00,50.01
136.00,50.01
137.00,50.01
138.00,50.01
139.00,50.01
140.00,50.01
141.00,50.01
142.00,50.01
143.00,50.01
144.00,50.01
145.00,50.00
146.00,50.00
147.00,50.00
148.00,50.00
149.00,50.00
150.00,50.00
152.00,50.00
153.00,50.00
154.00,50.00
155.00,50.00
156.00,50.00
157.00,50.00
158.00,50.00
159.00,50.00
160.00,50.00
161.00,50.00
162.00,50.00
163.00,50.00
164.00,50.00
165.00,50.00
166.00,50.00
167.00,50.00
168.00,50.00
169.00,50.00
170.00,50.00
171.00,50.00
172.00,50.00
173.00,50.00
174.00,50.00
175.00,50.00
176.00,50.00
177.00,50.00
178.00,50.00
179.00,50.00
180.00,50.00
181.00,50.00
182.00,50.00
183.00,50.00
184.00,50.00
185.00,50.00
186.00,50.00
187.00,50.00
188.00,50.00
189.00,50.00
190.00,50.00
191.00,50.00
192.00,50.00
193.00,50.00
194.00,50.00
195.00,50.00
196.00,50.00
197.00,50.00
198.00,50.00
199.00,50.00
200.00,50.00
201.00,50.00
202.00,50.00
203.00,50.00
204.00,50.00
205.00,50.00
206.00,50.00
207.00,50.00
208.00,50.00
209.00,50.00
210.00,50.00
211.00,50.00
212.00,50.00
213.00,50.00
214.00,50.00
215.00,50.00
216.00,50.00
217.00,50.00
218.00,50.00
219.00,50.00
220.00,50.00
221.00,50.00
222.00,50.00
223.00,50.00
224.00,50.00
225.00,50.00
226.00,50.00
227.00,50.00
228.00,50.00
229.00,50.00
231.00,50.00
232.00,50.00
233.00,50.00
234.00,50.00
235.00,50.00
236.00,50.00
237.00,50.00
238.00,50.00
239.00,50.00
240.00,50.00
241.00,50.00
242.00,50.00
243.00,50.00
244.00,50.00
245.00,50.00
246.00,50.00
247.00,50.00
248.00,50.00
249.00,50.00
250.00,50.00
251.00,50.00
252.00,50.00
253.00,50.00
254.00,50.00
255.00,50.00
256.00,50.00
257.00,50.00
258.00,50.00
259.00,50.00
260.00,50.00
261.00,50.00
262.00,50.00
263.00,50.00
264.00,50.00
265.00,50.00
266.00,50.00
267.00,50.00
268.00,50.00
269.00,50.00
270.00,50.00
271.00,50.00
272.00,50.00
273.00,50.00
274.00,50.00
275.00,50.00
276.00,50.00
277.00,50.00
278.00,50.00
279.00,50.00
280.00,50.00
281.00,50.00
282.00,50.00
283.00,50.00
284.00,50.00
285.00,50.00
286.00,50.00
287.00,50.00
288.00,50.00
289.00,50.00
290.00,50.00
291.00,50.00
292.00,50.00
293.00,50.00
294.00,50.00
295.00,50.00
296.00,50.00
297.00,50.00
298.00,50.00
299.00,50.00
300.00,50.00
301.00,50.00
302.00,50.00
303.00,50.00
304.00,50.00
305.00,50.00
306.00,50.00
307.00,50.00
308.00,50.00
309.00,50.00
310.00,50.00
311.00,50.00
312.00,50.00
313.00,50.00
314.00,50.00
315.00,50.00
316.00,50.00
317.00,50.00
318.00,50.00
319.00,50.00
320.00,50.00
321.00,50.00
322.00,50.00
323.00,50.00
324.00,50.00
325.00,50.00
326.00,50.00
327.00,50.00
328.00,50.00
329.00,50.00
330.00,50.00
331.00,50.00
332.00,50.00
333.00,50.00
334.00,50.00
335.00,50.00
336.00,50.00
337.00,50.00
338.00,50.00
339.00,50.00
340.00,50.00
341.00,50.00
342.00,50.00
343.00,50.00
344.00,50.00
345.00,50.00
346.00,50.00
347.00,50.00
348.00,50.00
349.00,50.00
350.00,50.00
351.00,50.00
352.00,50.00
353.00,50.00
354.00,50.00
355.00,50.00
356.00,50.00
357.00,50.07
358.00,50.30
359.00,50.68
360.00,51.04
361.00,51.42
362.00,51.75
363.00,52.10
364.00,52.47
365.00,52.80
366.00,53.17
367.00,53.52
368.00,53.84
369.00,54.21
370.00,54.55
371.00,54.88
372.00,55.24
373.00,55.58
374.00,55.94
375.00,56.26
376.00,56.62
377.00,56.96
378.00,57.28
379.00,57.64
380.00,57.98
381.00,58.31
382.00,58.65
383.00,58.99
384.00,59.34
385.00,59.66
386.00,60.02
387.00,60.36
388.00,60.67
389.00,61.03
390.00,61.36
391.00,61.72
392.00,62.03
393.00,62.37
394.00,62.72
395.00,63.04
396.00,63.38
397.00,63.73
398.00,64.05
399.00,64.40
400.00,64.73
401.00,65.05
402.00,65.40
403.00,65.74
404.00,66.09
405.00,66.40
406.00,66.76
407.00,67.09
408.00,67.42
409.00,67.76
410.00,68.09
411.00,68.43
412.00,68.76
413.00,69.11
414.00,69.45
415.00,69.76
416.00,70.13
417.00,70.46
418.00,70.78
419.00,71.13
420.00,71.46
421.00,71.78
422.00,72.13
423.00,72.48
424.00,72.82
425.00,73.13
426.00,73.48
427.00,73.82
429.00,74.15
430.00,74.48
431.00,74.82
432.00,75.15
433.00,75.29
434.00,75.31
435.00,75.28
436.00,75.26
437.00,75.23
438.00,75.22
439.00,75.20
440.00,75.19
441.00,75.17
442.00,75.16
443.00,75.15
444.00,75.14
445.00,75.13
446.00,75.12
447.00,75.11
448.00,75.10
449.00,75.10
450.00,75.09
451.00,75.08
452.00,75.08
453.00,75.07
454.00,75.07
455.00,75.06
456.00,75.06
457.00,75.05
458.00,75.05
459.00,75.05
460.00,75.04
461.00,75.04
462.00,75.04
463.00,75.04
464.00,75.03
465.00,75.03
466.00,75.03
467.00,75.03
468.00,75.02
469.00,75.02
470.00,75.02
471.00,75.02
472.00,75.02
473.00,75.02
